0,1,2,3
현대오일뱅크,만남주유소,1275,1175
알뜰주유소,알뜰관동주유소,1275,1175
GS칼텍스,차탄주유소,1280,1180
S-OIL,(주)은장양촌주유소,1295,1185
알뜰(ex),(주)대교 산청(상)주유소/충전소,1298,1189
알뜰(ex),전소,1298,1178
S-OIL,남북주유소,1300,1200
NH-OIL,산청군농협단성지소,1300,1200
S-OIL,강성주유소,1300,1200
NH-OIL,산청군농협금서주유소,1300,1200
현대오일뱅크,진달래주유소,1318,1218
GS칼텍스,금호주유소(생비량),1320,1220
SK에너지,원지주유소(SK),1320,1220
현대오일뱅크,단계주유소,1320,1220
알뜰주유소,덕산주유소,1320,1220
현대오일뱅크,대원주유소,1320,1220
SK에너지,신원주유소,1320,1220
SK에너지,덕천강주유소(SK),1320,1210
현대오일뱅크,삼거리주유소,1329,1229
자가상표,경호주유소,1344,1234
GS칼텍스,지리산주유소,1345,1245
현대오일뱅크,천왕봉주유소,1345,1245
현대오일뱅크,만두주유소,1345,1255
GS칼텍스,차황주유소,1350,1250
GS칼텍스,우리주유소,1350,1270
GS칼텍스,웅석주유소,1360,1250
GS칼텍스,금호주유소(산청),1370,1270
GS칼텍스,고속주유소,1370,1270
현대오일뱅크,경남주유소,1370,1270
GS칼텍스,생초주유소,1473,1332
SK에너지,동광주유소,-,-
SK에너지,황매산주유소,-,-
S-OIL,우리주유소,1255,1175
GS칼텍스,양산IC주유소,1260,1160
SK에너지,주식회사케이지오산막주유소,1262,1172
SK에너지,아신산업(주)그린주유소,1262,1224
현대오일뱅크,비케이에너지(주) 석산주유소,1263,1163
S-OIL,세종석유(주)성광주유소,1263,1173
현대오일뱅크,한솔유화(주)양산점 한길주유소,1263,1173
SK에너지,대양석유(주) 양산스마일주유소,1263,1173
자가상표,참조은주유소,1265,1165
현대오일뱅크,법기주유소,1268,1168
현대오일뱅크,비케이에너지(주) 도륜대주유소,1268,1168
NH-OIL,양산농협주유소,1269,1169
SK에너지,(주)천일주유소,1273,1173
S-OIL,(주)북정주유소,1273,1183
SK에너지,대양석유(주)참사랑주유소,1273,1173
현대오일뱅크,양산주유소,1275,1175
현대오일뱅크,(주)에너지원 행복가득주유소,1277,1198
알뜰주유소,태종석유석산알뜰주유소,1278,1178
GS칼텍스,호포주유소,1278,1178
GS칼텍스,동해고속주유소,1278,1178
알뜰주유소,대석주유소,1278,1178
SK에너지,오케이주유소,1278,1178
알뜰주유소,양산에너지마트주유소,1278,1178
현대오일뱅크,(주)태영에너지,1278,1178
S-OIL,(주)성우에너지 고품격월드주유소,1278,1178
GS칼텍스,명곡셀프주유소,1278,1178
S-OIL,금산주유소,1283,1203
현대오일뱅크,호림주유소,1288,1188
GS칼텍스,초산주유소,1288,1188
현대오일뱅크,다복주유소,1288,1188
현대오일뱅크,부자주유소,1288,1188
S-OIL,(주)우양네트웍스 양산중앙주유소,1295,1185
알뜰(ex),통도사(부산)주유소,1296,1196
S-OIL,내원주유소(주)유테크양산지점,1298,1195
GS칼텍스,대양산업(주) 대양양산주유소,1298,1198
GS칼텍스,(주)삼화에너지삼화주유소,1298,1198
S-OIL,신도시햇살주유소,1299,1199
SK에너지,대양석유(주)범어주유소,1299,1199
S-OIL,새동네주유소,1305,1195
S-OIL,덕우주유소,1308,1208
현대오일뱅크,(주)서광종합상사 고연주유소,1308,1225
알뜰(ex),양산(서울)주유소,1310,1208
S-OIL,유명 주유소,1310,1210
SK에너지,위너스주유소,1318,1229
S-OIL,강변,1318,1188
GS칼텍스,신화주유소,1319,1219
GS칼텍스,(주)해연 덕계주유소,1328,1228
GS칼텍스,os에너지 터미널 주유소,1328,1198
SK에너지,대진주유소,1328,1228
SK에너지,SK에너지(주)천마,1328,1228
GS칼텍스,삼호주유소,1328,1228
GS칼텍스,영신주유소,1328,1219
SK에너지,증산셀프주유소,1328,1248
GS칼텍스,양산신도시주유소,1328,1198
현대오일뱅크,꿈나무주유소,1328,1248
SK에너지,내원사주유소,1329,1229
S-OIL,물금농협원동지점주유소,1330,1230
